edad,anos_empresa,salario,satisfaccion,horas_trabajadas,promociones,departamento,abandono
50,5,51579,3,52,0,RR.HH.,0
36,9,48565,2,53,1,Tecnología,1
29,7,51752,4,46,0,RR.HH.,1
42,0,79711,3,43,2,Operaciones,1
40,3,22000,2,40,0,Operaciones,1
44,0,82601,4,37,1,Tecnología,1
32,1,29368,3,38,0,Ventas,0
32,21,50200,4,32,1,Tecnología,0
45,0,47273,3,44,0,Finanzas,0
57,3,65593,4,30,0,RR.HH.,0
45,4,26233,4,46,0,Finanzas,0
24,6,63319,4,44,2,Ventas,0
43,4,91437,2,46,1,Finanzas,0
23,0,30462,4,40,2,Ventas,0
45,1,58414,4,72,2,Operaciones,0
51,3,43084,4,57,1,Tecnología,0
59,0,62665,3,33,0,Finanzas,0
23,2,55344,5,47,0,Ventas,0
42,0,43453,4,39,3,Tecnología,0
54,0,63781,2,35,0,Finanzas,0
33,2,87478,3,32,2,Ventas,1
43,0,51563,5,48,1,Operaciones,0
46,4,67955,1,38,1,Finanzas,1
48,5,31721,5,53,0,RR.HH.,1
49,8,37784,4,53,2,Tecnología,0
37,1,63503,4,57,0,RR.HH.,0
36,0,81714,2,37,1,Finanzas,1
24,0,61401,2,49,0,RR.HH.,0
58,5,49364,5,50,1,Finanzas,1
28,6,54987,3,40,1,Tecnología,0
42,0,32492,4,38,1,Ventas,0
30,13,65881,3,59,0,Ventas,1
39,0,70881,2,47,0,Ventas,1
25,3,46862,1,50,2,Tecnología,1
46,6,46539,3,37,3,Operaciones,0
35,10,59785,5,34,1,Operaciones,0
30,6,47139,3,39,0,Ventas,1
47,8,53809,3,43,2,Marketing,0
23,2,92794,3,35,0,RR.HH.,0
41,8,50553,3,44,2,Marketing,1
49,0,48549,3,30,1,Finanzas,0
28,11,43344,5,34,0,Finanzas,0
29,3,68395,3,51,1,Ventas,0
56,8,51737,3,50,0,Ventas,0
35,3,43311,2,41,1,Ventas,1
38,5,78783,5,35,0,Finanzas,1
57,3,80552,2,35,2,Tecnología,1
25,6,44192,1,41,1,Operaciones,1
23,0,22000,4,50,0,Tecnología,1
27,0,73135,3,53,2,Operaciones,0
25,1,42676,3,40,0,Ventas,1
50,0,69231,3,34,1,Ventas,1
39,10,22000,4,47,0,Tecnología,0
47,1,71066,2,37,0,Tecnología,1
55,18,33198,4,40,1,Tecnología,0
31,2,68153,4,56,0,Operaciones,1
57,1,55256,3,52,2,Ventas,1
35,7,37829,3,46,0,Tecnología,0
52,5,47673,2,33,1,Operaciones,0
36,3,67353,4,46,0,Ventas,0
29,4,56906,3,54,1,Marketing,0
35,6,65519,3,41,0,Marketing,0
44,1,90575,3,57,0,Ventas,1
42,28,26843,5,56,0,Tecnología,0
37,18,84109,3,59,0,Tecnología,0
39,5,56878,5,47,1,Operaciones,0
45,1,38821,3,50,0,Finanzas,0
47,5,31054,1,57,0,Finanzas,1
46,0,51595,2,49,2,Operaciones,0
50,0,71589,3,40,1,Ventas,1
36,1,52704,2,40,0,Operaciones,1
22,3,82200,1,47,0,Finanzas,1
46,10,28878,5,33,0,RR.HH.,0
28,6,54782,4,43,0,Operaciones,0
30,6,32456,4,54,1,Finanzas,1
45,2,61545,2,30,1,Ventas,1
22,2,70963,2,58,0,Tecnología,0
29,2,47426,1,55,0,RR.HH.,1
45,21,22000,4,40,1,Ventas,0
32,0,58581,5,49,1,Marketing,1
38,10,62861,3,45,0,Ventas,0
29,4,62277,2,56,0,Finanzas,1
56,2,77244,3,53,0,RR.HH.,0
56,6,35721,3,32,0,Ventas,0
54,3,67243,3,50,0,Marketing,1
26,10,76465,4,43,1,Operaciones,0
49,11,22985,4,45,1,RR.HH.,0
28,2,60753,2,38,1,Ventas,1
30,1,45924,1,60,0,Ventas,0
29,4,53532,5,54,0,Tecnología,0
33,12,61258,2,38,2,Tecnología,0
55,1,46229,1,32,0,RR.HH.,1
54,4,42837,2,41,1,Marketing,1
44,4,55614,1,48,1,RR.HH.,1
45,6,35429,3,47,0,Operaciones,0
58,0,35455,4,56,1,Finanzas,0
56,6,67228,3,52,0,RR.HH.,1
43,11,34321,3,53,1,Operaciones,0
48,0,66993,4,47,1,RR.HH.,0
56,1,63326,3,32,1,Operaciones,1
22,17,23935,5,43,2,Tecnología,0
56,0,42803,5,54,2,Ventas,0
58,9,76493,1,44,0,Operaciones,0
35,3,37339,4,49,0,RR.HH.,1
24,1,46640,3,42,1,Operaciones,0
22,10,63317,5,35,2,Marketing,1
26,2,69101,3,43,2,Ventas,1
47,3,50472,5,47,1,RR.HH.,0
35,2,44244,4,39,1,Tecnología,0
48,4,80602,2,42,3,Finanzas,1
30,0,86300,3,36,0,Operaciones,1
36,2,72619,5,55,1,Tecnología,0
36,17,56535,5,42,1,RR.HH.,0
47,1,40451,1,58,1,Finanzas,1
34,5,40052,4,58,1,Ventas,0
53,1,64405,3,44,0,Operaciones,1
53,7,62531,1,35,0,Finanzas,1
25,0,80228,3,30,0,Marketing,0
51,17,66708,2,31,1,Tecnología,1
58,3,27944,4,32,1,Ventas,0
44,1,73935,3,57,0,RR.HH.,1
36,0,37034,4,46,0,Ventas,0
50,0,48088,1,48,0,Marketing,1
57,3,59503,3,30,0,Ventas,0
34,2,90922,2,34,2,Operaciones,1
53,8,110978,2,52,2,RR.HH.,1
28,2,65921,1,47,0,Tecnología,1
43,1,51702,2,43,0,Ventas,1
49,4,64621,3,50,2,Finanzas,0
23,6,70977,3,59,0,RR.HH.,1
27,0,49227,3,43,0,Tecnología,1
49,0,87313,3,45,2,Marketing,0
49,0,59141,5,46,1,Tecnología,0
41,6,63959,5,66,2,Tecnología,1
51,5,66986,3,30,1,RR.HH.,0
32,3,62588,3,51,0,Ventas,1
49,9,70100,2,43,0,Marketing,0
46,8,43889,5,50,0,Tecnología,0
54,4,44950,1,39,0,Ventas,1
22,10,35197,3,44,0,Tecnología,0
48,1,62911,3,51,1,Finanzas,0
34,0,69020,3,73,0,RR.HH.,1
24,1,63239,2,52,0,Finanzas,1
27,0,85140,4,37,1,Ventas,0
29,3,54899,2,41,0,Tecnología,1
48,13,67037,4,40,3,Operaciones,0
30,0,35349,2,30,0,Ventas,1
58,0,48032,1,42,1,Operaciones,1
54,3,67519,5,51,0,Ventas,0
45,13,70283,2,33,0,Operaciones,0
36,1,49708,4,54,1,Tecnología,0
53,3,53711,3,49,2,Finanzas,0
53,0,27678,1,38,2,Ventas,1
45,0,48573,5,43,0,Ventas,0
33,21,71026,2,59,1,Ventas,1
23,16,65353,5,51,2,Ventas,0
24,0,64011,2,45,2,Tecnología,1
58,15,55895,5,42,0,RR.HH.,0
38,5,55127,1,45,2,RR.HH.,1
23,10,43114,3,40,1,Operaciones,0
23,3,67578,4,30,1,Finanzas,0
49,3,62577,5,63,1,Finanzas,0
44,3,63856,5,46,2,Tecnología,1
58,5,45531,4,48,0,RR.HH.,1
53,0,22000,5,44,0,Tecnología,0
54,0,74748,2,38,1,Operaciones,0
22,1,46380,3,43,0,Ventas,0
40,6,39470,3,30,1,Ventas,0
23,1,67482,3,65,0,Finanzas,0
47,5,47943,3,33,1,Ventas,1
53,17,74078,3,35,1,Operaciones,0
27,0,66106,2,41,2,Operaciones,1
53,5,67304,4,56,0,Ventas,1
25,2,30412,2,45,0,Ventas,1
32,10,76814,3,33,0,RR.HH.,0
38,0,59702,3,56,1,Finanzas,0
59,5,48353,4,51,0,Tecnología,0
45,9,57580,4,49,0,Finanzas,0
26,14,23027,4,51,0,Finanzas,0
55,5,62355,2,66,1,Tecnología,1
27,3,36471,3,64,1,Ventas,1
43,4,30651,1,38,2,Operaciones,1
32,10,27597,3,59,2,Ventas,0
37,4,75028,3,48,1,Operaciones,0
54,0,43673,1,49,1,Tecnología,1
30,13,82607,2,30,3,RR.HH.,0
27,5,45355,5,43,1,Operaciones,0
37,5,24267,5,37,2,Operaciones,0
50,1,34902,3,52,2,Tecnología,1
24,5,77244,1,54,1,Ventas,0
41,2,52193,2,30,0,Operaciones,1
57,5,45130,3,44,0,Tecnología,1
40,0,57880,5,55,1,Ventas,0
47,5,64032,2,43,0,Marketing,1
24,35,75113,4,51,1,Ventas,0
40,0,81072,2,48,1,Ventas,1
41,18,48524,5,48,0,Ventas,0
53,2,31131,3,42,1,Finanzas,0
28,10,47557,4,34,1,Finanzas,0
54,7,59685,3,34,1,Tecnología,0
39,4,37652,4,51,0,Tecnología,1
22,6,37771,2,45,0,Tecnología,1
32,10,61188,2,43,0,Finanzas,1
49,2,54124,5,41,0,Ventas,0
46,1,55590,5,42,0,Marketing,0
44,5,41347,5,54,1,Ventas,0
52,8,50852,4,41,0,Marketing,0
51,7,38363,4,32,0,Ventas,0
56,7,71023,1,51,1,Operaciones,0
28,2,73634,3,43,2,Ventas,1
37,8,22000,3,45,1,Ventas,0
